time [сек];Mz;epsilon;omega;alpha;Iт;delta_р.в.;Mzp;V;Lp
0.099;1.7763568394002505e-15;2.5734878146025597e-14;2.547752936456532e-15;4.0;38.8;-5.28;0;0;0
0.1;1.7763568394002505e-15;2.5734878146025597e-14;2.5734878146025576e-15;4.0;38.8;-5.28;0;0;0
0.101;1.7763568394002505e-15;2.5734878146025597e-14;2.599222692748583e-15;4.0;38.8;-5.28;0;0;0
0.102;1.7763568394002505e-15;2.5734878146025597e-14;2.6249575708946085e-15;4.0;38.8;-5.28;0;0;0
0.103;1.7763568394002505e-15;2.5734878146025597e-14;2.650692449040634e-15;4.0;38.8;-5.28;0;0;0
0.104;1.7763568394002505e-15;2.5734878146025597e-14;2.6764273271866594e-15;4.0;38.8;-5.28;0;0;0
0.105;1.7763568394002505e-15;2.5734878146025597e-14;2.702162205332685e-15;4.0;38.8;-5.28;0;0;0
0.106;1.7763568394002505e-15;2.5734878146025597e-14;2.7278970834787103e-15;4.0;38.8;-5.28;0;0;0
0.107;1.7763568394002505e-15;2.5734878146025597e-14;2.7536319616247357e-15;4.0;38.8;-5.28;0;0;0
0.108;1.7763568394002505e-15;2.5734878146025597e-14;2.779366839770761e-15;4.0;38.8;-5.28;0;0;0
0.109;1.7763568394002505e-15;2.5734878146025597e-14;2.8051017179167866e-15;4.0;38.8;-5.28;0;0;0
0.11;1.7763568394002505e-15;2.5734878146025597e-14;2.830836596062812e-15;4.0;38.8;-5.28;0;0;0
0.111;1.7763568394002505e-15;2.5734878146025597e-14;2.8565714742088375e-15;4.0;38.8;-5.28;0;0;0
0.112;1.7763568394002505e-15;2.5734878146025597e-14;2.882306352354863e-15;4.0;38.8;-5.28;0;0;0
0.113;1.7763568394002505e-15;2.5734878146025597e-14;2.9080412305008884e-15;4.0;38.8;-5.28;0;0;0
0.114;1.7763568394002505e-15;2.5734878146025597e-14;2.933776108646914e-15;4.0;38.8;-5.28;0;0;0
0.115;1.7763568394002505e-15;2.5734878146025597e-14;2.9595109867929393e-15;4.0;38.8;-5.28;0;0;0
0.116;1.7763568394002505e-15;2.5734878146025597e-14;2.9852458649389647e-15;4.0;38.8;-5.28;0;0;0
0.117;1.7763568394002505e-15;2.5734878146025597e-14;3.01098074308499e-15;4.0;38.8;-5.28;0;0;0
0.118;1.7763568394002505e-15;2.5734878146025597e-14;3.0367156212310156e-15;4.0;38.8;-5.28;0;0;0
0.119;1.7763568394002505e-15;2.5734878146025597e-14;3.062450499377041e-15;4.0;38.8;-5.28;0;0;0
0.12;1.7763568394002505e-15;2.5734878146025597e-14;3.0881853775230665e-15;4.0;38.8;-5.28;0;0;0
0.121;1.7763568394002505e-15;2.5734878146025597e-14;3.113920255669092e-15;4.0;38.8;-5.28;0;0;0
0.122;1.7763568394002505e-15;2.5734878146025597e-14;3.1396551338151174e-15;4.0;38.8;-5.28;0;0;0
0.123;1.7763568394002505e-15;2.5734878146025597e-14;3.165390011961143e-15;4.0;38.8;-5.28;0;0;0
0.124;1.7763568394002505e-15;2.5734878146025597e-14;3.1911248901071683e-15;4.0;38.8;-5.28;0;0;0
0.125;1.7763568394002505e-15;2.5734878146025597e-14;3.2168597682531938e-15;4.0;38.8;-5.28;0;0;0
0.126;1.7763568394002505e-15;2.5734878146025597e-14;3.2425946463992192e-15;4.0;38.8;-5.28;0;0;0
0.127;1.7763568394002505e-15;2.5734878146025597e-14;3.2683295245452447e-15;4.0;38.8;-5.28;0;0;0
0.128;1.7763568394002505e-15;2.5734878146025597e-14;3.29406440269127e-15;4.0;38.8;-5.28;0;0;0
0.129;1.7763568394002505e-15;2.5734878146025597e-14;3.3197992808372955e-15;4.0;38.8;-5.28;0;0;0
0.13;1.7763568394002505e-15;2.5734878146025597e-14;3.345534158983321e-15;4.0;38.8;-5.28;0;0;0
0.131;1.7763568394002505e-15;2.5734878146025597e-14;3.3712690371293464e-15;4.0;38.8;-5.28;0;0;0
0.132;1.7763568394002505e-15;2.5734878146025597e-14;3.397003915275372e-15;4.0;38.8;-5.28;0;0;0
0.133;1.7763568394002505e-15;2.5734878146025597e-14;3.4227387934213973e-15;4.0;38.8;-5.28;0;0;0
0.134;1.7763568394002505e-15;2.5734878146025597e-14;3.4484736715674228e-15;4.0;38.8;-5.28;0;0;0
0.135;1.7763568394002505e-15;2.5734878146025597e-14;3.4742085497134482e-15;4.0;38.8;-5.28;0;0;0
0.136;1.7763568394002505e-15;2.5734878146025597e-14;3.4999434278594737e-15;4.0;38.8;-5.28;0;0;0
0.137;1.7763568394002505e-15;2.5734878146025597e-14;3.525678306005499e-15;4.0;38.8;-5.28;0;0;0
0.138;1.7763568394002505e-15;2.5734878146025597e-14;3.5514131841515246e-15;4.0;38.8;-5.28;0;0;0
0.139;1.7763568394002505e-15;2.5734878146025597e-14;3.57714806229755e-15;4.0;38.8;-5.28;0;0;0
0.14;1.7763568394002505e-15;2.5734878146025597e-14;3.602882940443576e-15;4.0;38.8;-5.28;0;0;0
0.141;1.7763568394002505e-15;2.5734878146025597e-14;3.628617818589602e-15;4.0;38.8;-5.28;0;0;0
0.142;1.7763568394002505e-15;2.5734878146025597e-14;3.6543526967356275e-15;4.0;38.8;-5.28;0;0;0
0.143;1.7763568394002505e-15;2.5734878146025597e-14;3.680087574881653e-15;4.0;38.8;-5.28;0;0;0
0.144;1.7763568394002505e-15;2.5734878146025597e-14;3.705822453027679e-15;4.0;38.8;-5.28;0;0;0
0.145;1.7763568394002505e-15;2.5734878146025597e-14;3.731557331173705e-15;4.0;38.8;-5.28;0;0;0
0.146;1.7763568394002505e-15;2.5734878146025597e-14;3.757292209319731e-15;4.0;38.8;-5.28;0;0;0
0.147;1.7763568394002505e-15;2.5734878146025597e-14;3.783027087465757e-15;4.0;38.8;-5.28;0;0;0
0.148;1.7763568394002505e-15;2.5734878146025597e-14;3.8087619656117826e-15;4.0;38.8;-5.28;0;0;0
